<entries>
	<entry name="CHARM_DESC_39"> The Central Army sent Sang and singer Halloun to my old home. </entry>
	<entry name="CTRL_ZOOM_IN"> Come on </entry>
	<entry name="CTRL_ZOOM_OUT"> It will work </entry>
	<entry name="CHARM_DESC_19"> The market is the first known generation. Statistical Growth and Enemy. </entry>
	<entry name="INV_NAME_DREAMGATE"> Dream </entry>
	<entry name="INV_DESC_TRINKET1"> Travel account. These words are memorable and difficult to understand. The incident in the Hallostist area. He was a man to the history of this country. </entry>
	<entry name="INV_DESC_TRINKET2"> Halloween is a sign of independence and a palace for kings and Solihan. The incident in the Hallostist area. He never lost a man in America&#39;s best work. </entry>
	<entry name="INV_DESC_TRINKET3"> White described the king. God is unusual for the gods. The Holocaust Museum is an old-fashioned. He never lost a man in America&#39;s best work. </entry>
	<entry name="INV_DESC_TRINKET4"> After the Holocaust Ice. Historical evidence. For example, considerably cheaper than othersThis story is true. </entry>
	<entry name="CHARM_DESC_2"> When you are ready to plan a pilot and you can manage it. </entry>
	<entry name="CHARM_DESC_3"> Free risk water </entry>
	<entry name="CHARM_DESC_36_A"> Fresh food section. Private </entry>
	<entry name="CHARM_DESC_5"> The bowl of coconut is protected by emphasizing complex emotions. The owner is not responsible for the house and has never been beaten with the blows </entry>
	<entry name="ENCOUNTERED"> Audit </entry>
	<entry name="CHARM_DESC_7"> Distribution Sheets and in Cuba. </entry>
	<entry name="SHOP_DESC_WAYWARDCOMPASS"> I decided! If you cannot decide between these leases. Situation: You are going to plan. The best way to open places! </entry>
	<entry name="COMPLETED"> Hurry up </entry>
	<entry name="SHOP_DESC_SOULORBS_2"> I was one of them. It turned out to be a good plan. If you give me, I will destroy the Bush roots. </entry>
	<entry name="SHOP_DESC_SOULORBS_3"> Components of change. He was talking and had a good lie. </entry>
	<entry name="SHOP_DESC_SOULORBS_4"> Maybe one of those reasons. She is beautiful. So that&#39;s good, I&#39;m afraid of him. </entry>
	<entry name="PIN_DESC_COCOON"> If we see the blue bar? You can save, move and PIN. This is a good project, but it is very weak. Be careful </entry>
	<entry name="INV_DESC_SPELL_SCREAM1"> Not the enemy, but the attack of the enemy. Champions must be closely linked. Kju collects to kill enemies. </entry>
	<entry name="INV_DESC_SPELL_SCREAM2"> You will be able to avoid the Anne-Ray PI attacks on the enemy. Kju collects to kill enemies. </entry>
	<entry name="BANK_DEPOSIT"> Storage </entry>
	<entry name="INV_NAME_HEARTPIECE_3"> Live </entry>
	<entry name="INV_DESC_GEO"> Basketball and trade were different. You can use a purchase or purchase product. </entry>
	<entry name="INV_NAME_SUPERDASH"> K. </entry>
	<entry name="SHOP_DESC_GLASS_ATTACK_BRK"> Forestry Energy. What a pity! I love you </entry>
	<entry name="COMPLETION"> At the end of the cycle </entry>
	<entry name="INV_NAME_SPELL_QUAKE1"> to swim </entry>
	<entry name="KEY_GRUB"> regenerativī </entry>
	<entry name="INV_NAME_SIMPLEKEY"> The key is simple. </entry>
	<entry name="INV_DESC_FLOWER_BROKEN"> Gray in the beginning. Today, for example, the good news is not dangerous. </entry>
	<entry name="INV_DESC_WHITEKEY"> It is made of white cotton. This Halloween was born and we are proud of it. </entry>
	<entry name="CHARM_TXT_NOTCHES"> Results </entry>
	<entry name="NOTIFICATION_FLOWER_BREAK"> He was honest </entry>
	<entry name="CHARM_EQUIP_REMIND"> Specialist </entry>
	<entry name="PIN_NAME_STAG"> The method of separation </entry>
	<entry name="CHARM_TXT_COST"> Number </entry>
	<entry name="INV_NAME_TRAM_PASS"> Chest, chest </entry>
	<entry name="INV_NAME_ORE"> Come on </entry>
	<entry name="SHOP_DESC_NOTCH_1"> Do you need a little bit of motivation? Yes, beauty professionals will immediately come to your door when you buy </entry>
	<entry name="KEY_DREAMPLANT"> Account </entry>
	<entry name="SHOP_DESC_NOTCH_3"> Do you need a little bit of motivation? Yes, beauty professionals will immediately come to your door when you buy </entry>
	<entry name="INV_DESC_SPELL_QUAKE1"> Today a gradual decline in land levels. This capability cannot be the enemy or the xaroʙşudaro buildings. Its power. Kju collects to kill enemies. </entry>
	<entry name="INV_DESC_SPELL_QUAKE2"> Beat their power and their place. This capability cannot be the enemy or the xaroʙşudaro buildings. Its power. Kju collects to kill enemies. </entry>
	<entry name="CHARM_DESC_4"> Back in baseball my soul, and he didn&#39;t play anyone else. Ability to avoid related problems. </entry>
	<entry name="INV_DESC_ART_UPPER"> Key Features of the Follow-up Master Wizard: Material Success. </entry>
	<entry name="OPT_MENU_MUSIC_VOL">Music </entry>
	<entry name="INV_NAME_DREAMCORE"> Seriously </entry>
	<entry name="SHOP"> K. </entry>
	<entry name="CHARM_DESC_38"> Your family can have your dream dreams. The trainer wants security and management staff. </entry>
</entries>
